long,lat
-6.990315,38.60562
-7.427625,39.603442
-7.317719,39.331613
-7.315555,39.421679
-7.201751,39.329879
-7.199438,39.41994
-6.04569,39.576408
-6.162222,39.219083
-6.486737,39.857144
-9.183864,42.946721
-9.184132,43.036769
-9.061289,42.946853
-9.061378,43.036901
-9.061468,43.126948
-9.061111,42.766752
-9.0612,42.856803
-8.818757,42.046165
-8.818501,42.136227
-8.817984,42.316347
-8.697929,42.04591
-8.697502,42.135972
-8.697072,42.226032
-8.696641,42.31609
-8.696207,42.406147
-8.577104,42.045529
-8.576505,42.135589
-8.575904,42.225648
-8.575299,42.315705
-8.574693,42.405761
-8.455511,42.135079
-8.454738,42.225136
-8.453961,42.315191
-8.453179,42.405245
-8.819013,41.956101
-8.698355,41.955848
-8.333575,42.224496
-8.332626,42.314549
-8.331674,42.40462
-8.213534,42.133675
-8.212417,42.223728
-8.211295,42.313779
-8.093835,42.042731
-8.092553,42.132782
-8.091264,42.222832
-8.08997,42.31288
-8.08867,42.402927
-7.973031,42.041713
-7.971577,42.131761
-7.970117,42.221808
-7.96865,42.311853
-7.852233,42.040569
-7.850609,42.130613
-7.848977,42.220656
-7.847338,42.310698
-8.215752,41.953565
-8.097648,41.772568
-8.096383,41.862624
-8.095112,41.952678
-7.975918,41.861613
-7.974478,41.951664
-7.85546,41.860475
-7.85385,41.950523
-8.938624,43.036901
-8.938534,43.126948
-8.938443,43.216993
-8.938352,43.307037
-8.816138,42.946721
-8.815869,43.036769
-8.815328,43.216861
-8.815056,43.306904
-8.693564,42.946459
-8.693116,43.036506
-8.692666,43.126552
-8.692215,43.216596
-8.570992,42.946065
-8.570365,43.036111
-8.569736,43.126155
-8.569103,43.216198
-8.568468,43.30624
-8.448423,42.94554
-8.447617,43.035584
-8.446808,43.125627
-8.445995,43.215668
-8.445178,43.305708
-8.939067,42.586646
-8.938979,42.6767
-8.938891,42.766752
-8.938802,42.856803
-8.817463,42.496461
-8.816936,42.676569
-8.816671,42.766622
-8.816405,42.856672
-8.695772,42.496203
-8.695334,42.586257
-8.694895,42.676309
-8.694453,42.766361
-8.69401,42.856411
-8.574083,42.495815
-8.57347,42.585868
-8.572855,42.675919
-8.572237,42.765969
-8.571616,42.856018
-8.452398,42.495317
-8.451609,42.585349
-8.450818,42.675399
-8.450023,42.765448
-8.449225,42.855495
-8.325858,42.944884
-8.324873,43.034926
-8.323884,43.124967
-8.32289,43.215006
-8.321891,43.305044
-8.202133,43.034136
-8.200964,43.124174
-8.199789,43.214211
-8.080741,42.943178
-8.079399,43.033215
-8.07805,43.12325
-8.076695,43.213284
-7.958192,42.942128
-7.95667,43.032162
-7.95514,43.122194
-7.953608,43.212243
-7.952063,43.302253
-7.83565,42.940947
-7.832242,43.121025
-7.830523,43.211032
-8.330713,42.494652
-8.329752,42.584701
-8.328785,42.674749
-8.327814,42.764796
-8.326838,42.854841
-8.209036,42.493877
-8.207899,42.583924
-8.206756,42.673969
-8.205608,42.764013
-8.087363,42.492973
-8.086051,42.583017
-8.084733,42.673059
-8.083408,42.7631
-8.082078,42.85314
-7.965697,42.491939
-7.964209,42.58198
-7.962715,42.672019
-7.959707,42.852093
-7.844036,42.490776
-7.842375,42.580814
-7.839028,42.760883
-7.837343,42.850916
-8.197424,43.39428
-8.195037,43.574343
-8.073965,43.393347
-8.072591,43.483376
-8.071211,43.573404
-8.069824,43.663431
-7.950513,43.39228
-7.948956,43.482307
-7.947391,43.572331
